Enabler Type,EnablerType,Enabler Roles,Active (Y/N),Short Text,Enabler Description,Character count,
PL_U,Plant_Update,"ES : PLT - U0GK:GEO_CENTER_DIST_SERVICE:INDEPENDENCE,MO,US",,GEO_CENTER_DIST_SERVICE,,0,
PL_U,Plant_Update,"ES : PLT - U0GA/U0AG:GLAD_AMHERST_MFG_PLANT:AMHERST,VA,US",,GLAD_AMHERST_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0EY:GLAD_CO_NE_EXCEL_OVERFLOW:NEW_KINGSTOWN,PA,US",,GLAD_CO_NE_EXCEL_OVERFLOW,,0,
PL_U,Plant_Update,"ES : PLT - U0GC/U0CG:GLAD_ROGERS_MFG_PLANT:ROGERS,AR,US",,GLAD_ROGERS_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0JA/U0J6:GMT_SPECIALTY_PKG:CHICAGO,IL,US",,GMT_SPECIALTY_PKG,,0,
PL_U,Plant_Update,"ES : PLT - U127/U0DW:GOODWIN_EAST:LAWRENCEVILLE,GA,US",,GOODWIN_EAST,,0,
PL_U,Plant_Update,"ES : PLT - U0JT/U05U:GOODWIN_EAST_(2008):LAWRENCEVILLE,GA,US",,GOODWIN_EAST_(2008),,0,
PL_U,Plant_Update,"ES : PLT - U0XB/U0X6:GPMI_COMPANY:GILBERT,AZ,US",,GPMI_COMPANY,,0,
PL_U,Plant_Update,"ES : PLT - U0FQ:GRAHAM_PACKAGING_COMPANY:YORK,PA,US:U0E6",U0E6,GRAHAM_PACKAGING_COMPANY,,0,
PL_U,Plant_Update,"ES : PLT - U0Q8:GRAHAM_PACKAGING_COMPANY:BERKELEY,MO,US:U0E6",U0E6,GRAHAM_PACKAGING_COMPANY,,0,
PL_U,Plant_Update,"ES : PLT - U0UV:GREECE PORT PLANT:PIRAEUS,ATHENS,GR",,GREECE PORT PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0VE/U02V:GREEN_GARDEN_FOOD_PRODUCTS:KENT,WA,US",,GREEN_GARDEN_FOOD_PRODUCTS,,0,
PL_U,Plant_Update,"ES : PLT - U0VN/U0YN:GUY AND O'NEILL:FREDONIA,WI,US",,GUY AND O'NEILL,,0,
PL_U,Plant_Update,"ES : PLT - U028:HARRIS_STREET_WAREHOUSE:HOUSTON,TX,US",,HARRIS_STREET_WAREHOUSE,,0,
PL_U,Plant_Update,"ES : PLT - U06B:HARRISON_WAREHOUSE_SVC:CLARKSBURG,WV,US",,HARRISON_WAREHOUSE_SVC,,0,
PL_U,Plant_Update,"ES : PLT - CN8J:HAYCO_INDUSTRIAL_ESTATE:YANCHUAN_SONGGANG_SHENZ,190,CN",,HAYCO_INDUSTRIAL_ESTATE,,0,
PL_U,Plant_Update,"ES : PLT - U0KL/U07J:HERITAGE BAG COMPANY:RANCHO CUCAMONGA,CA,US",,HERITAGE BAG COMPANY,,0,
PL_U,Plant_Update,"ES : PLT - U0TM/U0T5:HERITAGE_BAG:SHANNON,MS,US",,HERITAGE_BAG,,0,
PL_U,Plant_Update,"ES : PLT - U0HA:HERMAN_DISTRIBUTION:HOUSTON,TX,US",,HERMAN_DISTRIBUTION,,0,
PL_U,Plant_Update,"ES : PLT - U0UX MEXICO PORT PLANT:HERMOSILLO,SONORA,MX",,"HERMOSILLO,SONORA,MX",,0,
PL_U,Plant_Update,"ES : PLT - U06A:HODGES_WAREHOUSE:OKMULGEE,OK,US",,HODGES_WAREHOUSE,,0,
PL_U,Plant_Update,"ES : PLT - U0B2/U011:HUISH_CO:DYERSBURG,TN,US",,HUISH_CO,,0,
PL_U,Plant_Update,"ES : PLT - U0HD/U0H2:HUISH_CO:SALT_LAKE_CITY,UT,US",,HUISH_CO,,0,
PL_U,Plant_Update,"ES : PLT - U0Z3:HUNGARY_PORT_PLANT:BUDAPEST,,HU",,HUNGARY_PORT_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0G2/U015:HVR_RENO_MFG_PLANT:RENO,NV,US",,HVR_RENO_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0G1/U01W:HVR_WHEELING_MFG_PLANT:WHEELING,IL,US",,HVR_WHEELING_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U107/U108:HYDRITE_CHEMICAL:MILWAUKEE,WI,US",,HYDRITE_CHEMICAL,,0,
PL_U,Plant_Update,"ES : PLT - U0JR:JACOBSON_HOMETOWN:HOMETOWN,PA,US",,JACOBSON_HOMETOWN,,0,
PL_U,Plant_Update,"ES : PLT - U0JR:JACOBSON_HOMETOWN:HOMETOWN,PA,US",,JACOBSON_HOMETOWN,,0,
PL_U,Plant_Update,"ES : PLT - U152:JACOBSON_WAREHOUSE:WEST_HAZLETON,PA,US",,JACOBSON_WAREHOUSE,,0,
PL_U,Plant_Update,"ES : PLT - U0DP:JP_SPECIALTIES_WHSE:COLUMBIA,TN,US",,JP_SPECIALTIES_WHSE,,0,
PL_U,Plant_Update,"ES : PLT - U05D:KANO_TRUCKING_SERV:HONOLULU,HI,US",,KANO_TRUCKING_SERV,,0,
PL_U,Plant_Update,"ES : PLT - U0EM/U04R:KEMPER_INNOVATION_CTR:CINCINNATI,OH,US",,KEMPER_INNOVATION_CTR,,0,
PL_U,Plant_Update,"ES : PLT - U0KU/U0K5:KEYTRONIC_CORPORATION:EL_PASO,TX,US",,KEYTRONIC_CORPORATION,,0,
PL_U,Plant_Update,"ES : PLT - U0M1/U01E:KINGSFORD_BELLE_MFG_PLANT:BELLE,MO,US",,KINGSFORD_BELLE_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0R3:KINGSFORD_BERYL_RETORT_MFG_PLANT:KEYSER,WV,US",,KINGSFORD_BERYL_RETORT_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0M2/U02E:KINGSFORD_BURNSIDE_MFG_PLANT:BURNSIDE,KY,US",,KINGSFORD_BURNSIDE_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U01S:KINGSFORD_GLEN_MFG_PLANT:GLEN,MS,US",,KINGSFORD_GLEN_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0M7/U05E:KINGSFORD_LOUISVILLE_MFG_PLANT:LOUISVILLE,MS,US",,KINGSFORD_LOUISVILLE_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0M3/U03E:KINGSFORD_PARSONS_MFG_PLANT:PARSONS,WV,US",,KINGSFORD_PARSONS_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0M4/U04E:KINGSFORD_SPRINGFIELD_MFG_PLANT:SPRINGFIELD,OR,US",,KINGSFORD_SPRINGFIELD_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0SS/U02S:KINGSFORD_SUMR_SHDE_MFG_PLANT:SUMMER_SHADE,KY,US",,KINGSFORD_SUMR_SHDE_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0WK:KINGSFORD-NFI: SHEPHERDSVILLE,KY,US",,KINGSFORD-NFI,,0,
PL_U,Plant_Update,"ES : PLT - U0Q2:KINGSFORD-NFI:STOCKTON,CA,US",,KINGSFORD-NFI,,0,
PL_U,Plant_Update,"ES : PLT - U0UJ:KINGSFORD-NFI:MIDDLETOWN,PA,US",,KINGSFORD-NFI,,0,
PL_U,Plant_Update,"ES : PLT - U0UT:KINGSFORD-NFI:TRACY,CA,US",,KINGSFORD-NFI,,0,
PL_U,Plant_Update,"ES : PLT - U0VX:KINGSFORD-NFI:NEW KINGSTON,PA,US",,KINGSFORD-NFI,,0,
PL_U,Plant_Update,"ES : PLT - U0VK:KINGSFORD-RSI:FERGUSON,KY,US",,KINGSFORD-RSI,,0,
PL_U,Plant_Update,"ES : PLT - U0Q6/U07K:KLEEN TEST:STRASBURG,OH,US",,KLEEN TEST,,0,
